continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,unit_of_wage,full_time_position,wage_range
Asia,High School,Y,N,1911,2001,Northeast,Year,Y,< 50000
Asia,Bachelor's,N,N,2039,2001,South,Year,Y,> 100000
North America,Doctorate,Y,N,2691,2014,Northeast,Year,Y,< 50000
Asia,Bachelor's,N,Y,2536,1994,Northeast,Year,Y,< 50000
Asia,Master's,N,N,996,2008,Northeast,Hour,Y,< 50000
South America,Bachelor's,Y,N,2968,1921,West,Month,Y,50000-100000
Asia,Doctorate,Y,N,4444,2004,Northeast,Year,Y,50000-100000
Asia,Bachelor's,Y,N,169,1969,West,Year,Y,> 100000
Asia,Master's,Y,N,97,2012,South,Year,N,> 100000
Europe,Bachelor's,N,Y,3884,2009,Midwest,Year,Y,50000-100000
North America,Bachelor's,Y,N,2022,2007,South,Year,Y,< 50000
Asia,Master's,Y,N,409,1971,South,Year,Y,50000-100000
Asia,Bachelor's,N,N,700,2006,Northeast,Year,Y,< 50000
Asia,Master's,N,N,3296,2003,Northeast,Year,Y,> 100000
North America,Bachelor's,N,N,318,1995,Northeast,Year,Y,< 50000
Europe,Doctorate,N,N,800,1994,Northeast,Year,Y,< 50000
Europe,Bachelor's,Y,N,3114,1902,Midwest,Year,Y,> 100000
Europe,Doctorate,N,N,876,1944,West,Year,Y,50000-100000
Asia,Bachelor's,N,N,884,1990,Midwest,Year,Y,> 100000
Asia,Master's,Y,N,4374,2002,West,Year,Y,> 100000
Asia,High School,Y,N,2461,2004,Northeast,Year,Y,< 50000
Asia,Bachelor's,N,N,1229,1983,Northeast,Year,Y,< 50000
Europe,Doctorate,Y,N,693,1986,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,4873,2006,Midwest,Year,Y,50000-100000
Asia,Bachelor's,N,N,749,1994,West,Year,Y,50000-100000
Europe,High School,Y,Y,2096,1911,West,Year,Y,50000-100000
Asia,High School,Y,N,2348,1997,Northeast,Year,Y,50000-100000
Asia,Doctorate,Y,N,2300,2002,Midwest,Year,Y,50000-100000
Asia,Master's,Y,N,2061,1947,Midwest,Year,Y,> 100000
Asia,Bachelor's,Y,N,917,2001,West,Year,Y,< 50000
Asia,Master's,Y,N,2111,2008,Midwest,Month,N,> 100000
Europe,Master's,Y,Y,2686,2000,South,Year,Y,50000-100000
Asia,High School,Y,N,421,1969,Midwest,Year,Y,> 100000
Asia,Bachelor's,Y,N,699,2007,Northeast,Year,Y,< 50000
Europe,Doctorate,Y,N,5601,1990,Northeast,Year,Y,< 50000
Asia,Doctorate,N,N,3835,2004,Northeast,Year,Y,50000-100000
Asia,Master's,Y,N,2025,1965,Midwest,Year,Y,50000-100000
North America,Bachelor's,Y,N,188,1991,South,Year,Y,> 100000
North America,High School,Y,N,601,1993,South,Year,Y,< 50000
North America,Master's,N,N,4914,1999,West,Year,N,< 50000
Asia,Bachelor's,Y,N,26031,2009,West,Year,Y,< 50000
Europe,Doctorate,N,N,14756,2002,West,Year,Y,< 50000
North America,Bachelor's,N,N,1144,1978,Northeast,Hour,Y,50000-100000
Asia,Master's,N,N,2398,1908,Midwest,Year,Y,50000-100000
Europe,Bachelor's,N,N,1615,1987,Northeast,Hour,Y,< 50000
North America,Bachelor's,Y,N,174,1997,South,Year,Y,> 100000
Asia,Master's,Y,Y,308,2008,South,Year,Y,< 50000
North America,High School,Y,N,2058,1999,West,Hour,Y,50000-100000
Asia,High School,N,Y,3427,1986,South,Year,Y,> 100000
